name,mos
p01_geocnn_r01.ply,1.079650616
p01_geocnn_r02.ply,1.057185451
p01_geocnn_r03.ply,3.759313116
p01_geocnn_r04.ply,3.754941272
p01_gpcc-octree-predlift_r02.ply,2.10577713
p01_gpcc-octree-predlift_r03.ply,3.361438653
p01_gpcc-octree-predlift_r04.ply,3.764877812
p01_gpcc-octree-predlift_r05.ply,4.253538797
p01_gpcc-octree-predlift_r06.ply,4.267853103
p01_gpcc-octree-raht_r02.ply,1.640837245
p01_gpcc-octree-raht_r03.ply,3.127493275
p01_gpcc-octree-raht_r04.ply,3.848859276
p01_gpcc-octree-raht_r05.ply,4.600221832
p01_gpcc-octree-raht_r06.ply,4.541709218
p01_vpcc_r00.ply,2.106820791
p01_vpcc_r01.ply,2.789528824
p01_vpcc_r02.ply,3.054361367
p01_vpcc_r03.ply,3.138312381
p01_vpcc_r04.ply,3.388373001
p01_vpcc_r05.ply,3.945140631
p02_geocnn_r01.ply,1.965844382
p02_geocnn_r02.ply,3.211647192
p02_geocnn_r03.ply,3.26541245
p02_geocnn_r04.ply,3.419199486
p02_gpcc-octree-predlift_r02.ply,1.362266575
p02_gpcc-octree-predlift_r03.ply,2.345566281
p02_gpcc-octree-predlift_r04.ply,3.970275047
p02_gpcc-octree-predlift_r05.ply,4.230449152
p02_gpcc-octree-predlift_r06.ply,4.469620757
p02_gpcc-octree-raht_r02.ply,1.217866914
p02_gpcc-octree-raht_r03.ply,2.015791978
p02_gpcc-octree-raht_r04.ply,3.488314819
p02_gpcc-octree-raht_r05.ply,4.093309243
p02_gpcc-octree-raht_r06.ply,4.331084171
p02_vpcc_r00.ply,1.609645248
p02_vpcc_r01.ply,2.167550799
p02_vpcc_r02.ply,3.093927394
p02_vpcc_r03.ply,3.487489458
p02_vpcc_r04.ply,3.485205725
p02_vpcc_r05.ply,3.974665036
p03_geocnn_r01.ply,2.494971006
p03_geocnn_r02.ply,2.984772688
p03_geocnn_r03.ply,3.648791077
p03_geocnn_r04.ply,3.372937088
p03_gpcc-octree-predlift_r02.ply,1.441520894
p03_gpcc-octree-predlift_r03.ply,3.070750499
p03_gpcc-octree-predlift_r04.ply,4.072438741
p03_gpcc-octree-predlift_r05.ply,3.990986114
p03_gpcc-octree-predlift_r06.ply,4.314907765
p03_gpcc-octree-raht_r02.ply,1.489301506
p03_gpcc-octree-raht_r03.ply,2.917084131
p03_gpcc-octree-raht_r04.ply,3.835404797
p03_gpcc-octree-raht_r05.ply,4.295872353
p03_gpcc-octree-raht_r06.ply,4.510437144
p03_vpcc_r00.ply,2.119991233
p03_vpcc_r01.ply,2.941540814
p03_vpcc_r02.ply,2.947343613
p03_vpcc_r03.ply,3.552730908
p03_vpcc_r04.ply,3.572730463
p03_vpcc_r05.ply,3.798203654
p04_geocnn_r01.ply,4.251724154
p04_geocnn_r02.ply,4.280860612
p04_geocnn_r03.ply,4.573453185
p04_geocnn_r04.ply,4.198448997
p04_gpcc-octree-predlift_r02.ply,1.654943262
p04_gpcc-octree-predlift_r03.ply,3.560143642
p04_gpcc-octree-predlift_r04.ply,3.943337515
p04_gpcc-octree-predlift_r05.ply,4.493860503
p04_gpcc-octree-predlift_r06.ply,4.605964249
p04_gpcc-octree-raht_r02.ply,1.246800485
p04_gpcc-octree-raht_r03.ply,3.218501963
p04_gpcc-octree-raht_r04.ply,4.137873656
p04_gpcc-octree-raht_r05.ply,4.570503837
p04_gpcc-octree-raht_r06.ply,4.42170779
p04_vpcc_r00.ply,1.78564099
p04_vpcc_r01.ply,2.575352327
p04_vpcc_r02.ply,3.782959251
p04_vpcc_r03.ply,4.252626171
p04_vpcc_r04.ply,4.654528969
p04_vpcc_r05.ply,4.752876209
p05_geocnn_r01.ply,1.824295578
p05_geocnn_r02.ply,2.699776641
p05_geocnn_r03.ply,3.286476199
p05_geocnn_r04.ply,3.000590654
p05_gpcc-octree-predlift_r02.ply,1.468168702
p05_gpcc-octree-predlift_r03.ply,2.936357398
p05_gpcc-octree-predlift_r04.ply,3.526917089
p05_gpcc-octree-predlift_r05.ply,3.941627292
p05_gpcc-octree-predlift_r06.ply,4.185825236
p05_gpcc-octree-raht_r02.ply,1.337513808
p05_gpcc-octree-raht_r03.ply,2.537219445
p05_gpcc-octree-raht_r04.ply,3.32377992
p05_gpcc-octree-raht_r05.ply,3.965411157
p05_gpcc-octree-raht_r06.ply,4.229402555
p05_vpcc_r00.ply,1.941959996
