name,mos
4armsMonstre_Octree_1.ply,3.71875
4armsMonstre_Octree_2.ply,3.3125
4armsMonstre_Octree_3.ply,3.142857143
4armsMonstre_Octree_4.ply,2.533333333
4armsMonstre_Octree_5.ply,2.166666667
Asterix_GammaNoise_1.ply,3.214285714
Asterix_GammaNoise_3.ply,2.75
Asterix_GammaNoise_4.ply,2.966666667
Asterix_GammaNoise_5.ply,2.857142857
Asterix_GammaNoise_7.ply,2.285714286
Asterix_MultiplicativeGaussianNoise_1.ply,2.933333333
Asterix_MultiplicativeGaussianNoise_3.ply,2.633333333
Asterix_MultiplicativeGaussianNoise_4.ply,2.5
Asterix_MultiplicativeGaussianNoise_5.ply,2.375
Asterix_MultiplicativeGaussianNoise_7.ply,2.214285714
Asterix_reconstruction_3.ply,4.0625
Asterix_reconstruction_4.ply,3.964285714
Asterix_reconstruction_5.ply,3.678571429
Asterix_reconstruction_6.ply,3.678571429
Asterix_reconstruction_7.ply,3.035714286
AustralianCattleDog_LumaNoise_1.ply,4.178571429
AustralianCattleDog_LumaNoise_3.ply,2.892857143
AustralianCattleDog_LumaNoise_4.ply,2.866666667
AustralianCattleDog_LumaNoise_5.ply,2.678571429
AustralianCattleDog_LumaNoise_7.ply,2.107142857
AustralianCattleDog_limitlossyG-lossyA_3.ply,4.142857143
AustralianCattleDog_limitlossyG-lossyA_4.ply,4.214285714
AustralianCattleDog_limitlossyG-lossyA_5.ply,2.96875
AustralianCattleDog_limitlossyG-lossyA_6.ply,1.964285714
AustralianCattleDog_limitlossyG-lossyA_7.ply,1.6875
Baldness_PoissonNoise_3.ply,3.5
Baldness_PoissonNoise_4.ply,4.107142857
Baldness_PoissonNoise_5.ply,3.566666667
Baldness_PoissonNoise_6.ply,3.428571429
Baldness_PoissonNoise_7.ply,3.5
Baldness_limitlossyG-lossyA_3.ply,4.9
Baldness_limitlossyG-lossyA_4.ply,3.625
Baldness_limitlossyG-lossyA_5.ply,1.785714286
Baldness_limitlossyG-lossyA_6.ply,1.8
Baldness_limitlossyG-lossyA_7.ply,1.464285714
Baldness_lossless-geom-lossy-attrs_3.ply,4.8125
Baldness_lossless-geom-lossy-attrs_4.ply,4.392857143
Baldness_lossless-geom-lossy-attrs_5.ply,4.035714286
Baldness_lossless-geom-lossy-attrs_6.ply,3.785714286
Baldness_lossless-geom-lossy-attrs_7.ply,2.607142857
Beagle_LumaNoise_1.ply,4.857142857
Beagle_LumaNoise_3.ply,3.035714286
Beagle_LumaNoise_4.ply,3.46875
Beagle_LumaNoise_5.ply,2.9
Beagle_LumaNoise_7.ply,3
Beagle_losslessG-limitlossyA_3.ply,4.9
Beagle_losslessG-limitlossyA_4.ply,4.678571429
Beagle_losslessG-limitlossyA_5.ply,4.3
Beagle_losslessG-limitlossyA_6.ply,3.733333333
Beagle_losslessG-limitlossyA_7.ply,3.285714286
BirdToucan_MeanShift_1.ply,4.821428571
BirdToucan_MeanShift_3.ply,3.714285714
BirdToucan_MeanShift_4.ply,3.071428571
BirdToucan_MeanShift_5.ply,3.107142857
BirdToucan_MeanShift_7.ply,2.428571429
BirdToucan_losslessG-limitlossyA_3.ply,4.833333333
BirdToucan_losslessG-limitlossyA_4.ply,4.8
BirdToucan_losslessG-limitlossyA_5.ply,4.333333333
BirdToucan_losslessG-limitlossyA_6.ply,3.766666667
BirdToucan_losslessG-limitlossyA_7.ply,3.533333333
BirdV2_losslessG-lossyA_3.ply,4.75
BirdV2_losslessG-lossyA_4.ply,4.6
BirdV2_losslessG-lossyA_5.ply,3.53125
BirdV2_losslessG-lossyA_6.ply,3.25
BirdV2_losslessG-lossyA_7.ply,3.233333333
BirdV3_MultiplicativeGaussianNoise_1.ply,3.566666667
BirdV3_MultiplicativeGaussianNoise_3.ply,3.21875
BirdV3_MultiplicativeGaussianNoise_4.ply,2.9
BirdV3_MultiplicativeGaussianNoise_5.ply,3
BirdV3_MultiplicativeGaussianNoise_7.ply,2.84375
Birdv1_MeanShift_1.ply,4.928571429
Birdv1_MeanShift_3.ply,3.25
Birdv1_MeanShift_4.ply,3.1
Birdv1_MeanShift_5.ply,2.821428571
Birdv1_MeanShift_7.ply,2.8125
Birdv1_losslessG-lossyA_3.ply,4.964285714
Birdv1_losslessG-lossyA_4.ply,4.678571429
Birdv1_losslessG-lossyA_5.ply,3.9
Birdv1_losslessG-lossyA_6.ply,2.678571429
Birdv1_losslessG-lossyA_7.ply,2.633333333
Birdv5_Octree_1.ply,3.642857143
Birdv5_Octree_2.ply,2.464285714
Birdv5_Octree_3.ply,2.392857143
Birdv5_Octree_4.ply,2.142857143
Birdv5_Octree_5.ply,2.035714286
BricksWall_GammaNoise_1.ply,3.78125
BricksWall_GammaNoise_3.ply,3.321428571
BricksWall_GammaNoise_4.ply,3.4375
BricksWall_GammaNoise_5.ply,3.321428571
BricksWall_GammaNoise_7.ply,2.535714286
BricksWall_HighFrequencyNoise_3.ply,4.25
BricksWall_HighFrequencyNoise_4.ply,4.178571429
BricksWall_HighFrequencyNoise_5.ply,3.6875
BricksWall_HighFrequencyNoise_6.ply,3.357142857
BricksWall_HighFrequencyNoise_7.ply,3.107142857
BricksWall_QuantizationNoise_1.ply,4.03125
BricksWall_QuantizationNoise_3.ply,3.966666667
BricksWall_QuantizationNoise_4.ply,3.285714286
BricksWall_QuantizationNoise_5.ply,3.821428571
BricksWall_QuantizationNoise_7.ply,3.178571429
BricksWall_limitlossyG-lossyA_3.ply,4.678571429
BricksWall_limitlossyG-lossyA_4.ply,4.71875
BricksWall_limitlossyG-lossyA_5.ply,2.821428571
BricksWall_limitlossyG-lossyA_6.ply,1.84375
BricksWall_limitlossyG-lossyA_7.ply,1.1
Caffe_ColorNoise_3.ply,3.928571429
Caffe_ColorNoise_4.ply,3.535714286
Caffe_ColorNoise_5.ply,3.633333333
Caffe_ColorNoise_6.ply,3.392857143
Caffe_ColorNoise_7.ply,2.892857143
Caffe_ContrastDistortion_1.ply,4
Caffe_ContrastDistortion_2.ply,3.607142857
Caffe_ContrastDistortion_3.ply,3.285714286
Caffe_ContrastDistortion_4.ply,3.178571429
Caffe_ContrastDistortion_5.ply,2.214285714
Caffe_CorrelatedGaussianNoise_1.ply,4.107142857
Caffe_CorrelatedGaussianNoise_2.ply,3.75
Caffe_CorrelatedGaussianNoise_3.ply,3.59375
Caffe_CorrelatedGaussianNoise_4.ply,3.285714286
Caffe_CorrelatedGaussianNoise_5.ply,2.892857143
Caffe_GaussianShifting_1.ply,4.46875
Caffe_GaussianShifting_2.ply,3.2
Caffe_GaussianShifting_3.ply,3.133333333
Caffe_GaussianShifting_4.ply,2.392857143
Caffe_GaussianShifting_5.ply,2.25
Caffe_LumaNoise_1.ply,4.071428571
Caffe_LumaNoise_3.ply,3.107142857
Caffe_LumaNoise_4.ply,2.857142857
Caffe_LumaNoise_5.ply,2.928571429
Caffe_LumaNoise_7.ply,2.571428571
Cat_ColorNoise_3.ply,4.65625
Cat_ColorNoise_4.ply,4.035714286
Cat_ColorNoise_5.ply,3.714285714
Cat_ColorNoise_6.ply,3.433333333
Cat_ColorNoise_7.ply,3.25
Cat_PoissonNoise_3.ply,4.366666667
Cat_PoissonNoise_4.ply,4.3
Cat_PoissonNoise_5.ply,3.464285714
Cat_PoissonNoise_6.ply,3.8125
Cat_PoissonNoise_7.ply,3.321428571
Chicken_ColorQuantizationDither_3.ply,4
Chicken_ColorQuantizationDither_4.ply,3.178571429
Chicken_ColorQuantizationDither_5.ply,3.035714286
Chicken_ColorQuantizationDither_6.ply,2.464285714
Chicken_ColorQuantizationDither_7.ply,2.035714286
Chicken_QuantizationNoise_1.ply,3.964285714
Chicken_QuantizationNoise_3.ply,3.857142857
Chicken_QuantizationNoise_4.ply,3.6
Chicken_QuantizationNoise_5.ply,3.633333333
Chicken_QuantizationNoise_7.ply,3.166666667
DobermanPinscher_ContrastDistortion_1.ply,3.821428571
DobermanPinscher_ContrastDistortion_2.ply,3.178571429
DobermanPinscher_ContrastDistortion_3.ply,2.933333333
DobermanPinscher_ContrastDistortion_4.ply,2.666666667
DobermanPinscher_ContrastDistortion_5.ply,2.866666667
DobermanPinscher_QuantizationNoise_1.ply,4.285714286
DobermanPinscher_QuantizationNoise_3.ply,3.535714286
DobermanPinscher_QuantizationNoise_4.ply,3.785714286
DobermanPinscher_QuantizationNoise_5.ply,3.535714286
DobermanPinscher_QuantizationNoise_7.ply,3.1
Dolphin_ContrastDistortion_1.ply,3.678571429
Dolphin_ContrastDistortion_2.ply,3.033333333
Dolphin_ContrastDistortion_3.ply,2.321428571
Dolphin_ContrastDistortion_4.ply,2
Dolphin_ContrastDistortion_5.ply,1.857142857
Dolphin_RayleighNoise_1.ply,4.178571429
Dolphin_RayleighNoise_3.ply,3.428571429
Dolphin_RayleighNoise_4.ply,3.142857143
Dolphin_RayleighNoise_5.ply,2.928571429
Dolphin_RayleighNoise_7.ply,2.464285714
Dragon_LocalRotation_1.ply,3.25
Dragon_LocalRotation_2.ply,3.0625
Dragon_LocalRotation_3.ply,1.214285714
Dragon_LocalRotation_4.ply,1.133333333
Dragon_LocalRotation_5.ply,1
DuckV1_CorrelatedGaussianNoise_1.ply,4.714285714
DuckV1_CorrelatedGaussianNoise_2.ply,4.142857143
DuckV1_CorrelatedGaussianNoise_3.ply,3.75
DuckV1_CorrelatedGaussianNoise_4.ply,3.392857143
DuckV1_CorrelatedGaussianNoise_5.ply,3.166666667
DuckV1_reconstruction_3.ply,3.821428571
DuckV1_reconstruction_4.ply,4
DuckV1_reconstruction_5.ply,3.733333333
DuckV1_reconstruction_6.ply,3.6875
DuckV1_reconstruction_7.ply,2.785714286
Duck_CorrelatedGaussianNoise_1.ply,4.785714286
Duck_CorrelatedGaussianNoise_2.ply,3.821428571
Duck_CorrelatedGaussianNoise_3.ply,3.53125
Duck_CorrelatedGaussianNoise_4.ply,3.214285714
Duck_CorrelatedGaussianNoise_5.ply,3.125
Duck_RayleighNoise_1.ply,4.5
Duck_RayleighNoise_3.ply,3.25
Duck_RayleighNoise_4.ply,3.15625
Duck_RayleighNoise_5.ply,3
Duck_RayleighNoise_7.ply,2.5
EasternHognoseSnake_DownSample_3.ply,4.535714286
EasternHognoseSnake_DownSample_4.ply,4.133333333
EasternHognoseSnake_DownSample_5.ply,3.964285714
EasternHognoseSnake_DownSample_6.ply,3.333333333
EasternHognoseSnake_DownSample_7.ply,2.9375
EmperorPenguin_DownSample_3.ply,4.125
EmperorPenguin_DownSample_4.ply,3.571428571
EmperorPenguin_DownSample_5.ply,3.375
EmperorPenguin_DownSample_6.ply,3
EmperorPenguin_DownSample_7.ply,2.785714286
Facade00064_GaussianNoise_1.ply,2.821428571
Facade00064_GaussianNoise_3.ply,2.5
Facade00064_GaussianNoise_4.ply,1.7
Facade00064_GaussianNoise_5.ply,2
Facade00064_GaussianNoise_7.ply,1.5
Facade00064_LocalOffset_1.ply,2.392857143
Facade00064_LocalOffset_2.ply,2.266666667
Facade00064_LocalOffset_3.ply,1.928571429
Facade00064_LocalOffset_4.ply,1.566666667
Facade00064_LocalOffset_5.ply,1.214285714
Facade00064_LocalRotation_1.ply,2.40625
Facade00064_LocalRotation_2.ply,1.464285714
Facade00064_LocalRotation_3.ply,1.571428571
Facade00064_LocalRotation_4.ply,1.035714286
Facade00064_LocalRotation_5.ply,1.071428571
Facade00064_RayleighNoise_1.ply,4.066666667
Facade00064_RayleighNoise_3.ply,2.678571429
Facade00064_RayleighNoise_4.ply,2.71875
Facade00064_RayleighNoise_5.ply,2.333333333
Facade00064_RayleighNoise_7.ply,1.928571429
Facade00064_losslessG-limitlossyA_3.ply,4.666666667
Facade00064_losslessG-limitlossyA_4.ply,4.535714286
Facade00064_losslessG-limitlossyA_5.ply,3.821428571
Facade00064_losslessG-limitlossyA_6.ply,3.214285714
Facade00064_losslessG-limitlossyA_7.ply,1.875
Fish_GammaNoise_1.ply,3.535714286
Fish_GammaNoise_3.ply,3.333333333
Fish_GammaNoise_4.ply,3
Fish_GammaNoise_5.ply,3.066666667
Fish_GammaNoise_7.ply,2.392857143
Fish_reconstruction_3.ply,4.133333333
Fish_reconstruction_4.ply,4.25
Fish_reconstruction_5.ply,4
Fish_reconstruction_6.ply,4.033333333
Fish_reconstruction_7.ply,3.6875
GermanBoxer_GaussianNoise_1.ply,4.035714286
GermanBoxer_GaussianNoise_3.ply,3.321428571
GermanBoxer_GaussianNoise_4.ply,3.107142857
GermanBoxer_GaussianNoise_5.ply,3.21875
GermanBoxer_GaussianNoise_7.ply,2.875
GermanBoxer_SaltpepperNoise_1.ply,3.633333333
GermanBoxer_SaltpepperNoise_3.ply,2.90625
GermanBoxer_SaltpepperNoise_4.ply,2.857142857
GermanBoxer_SaltpepperNoise_5.ply,2.535714286
GermanBoxer_SaltpepperNoise_7.ply,2.5
Handcream_C2AI-lossy-geom-lossy-attrs_3.ply,4.357142857
Handcream_C2AI-lossy-geom-lossy-attrs_4.ply,4.25
Handcream_C2AI-lossy-geom-lossy-attrs_5.ply,3.928571429
Handcream_C2AI-lossy-geom-lossy-attrs_6.ply,3.433333333
Handcream_C2AI-lossy-geom-lossy-attrs_7.ply,2.607142857
Handcream_ColorNoise_3.ply,4.21875
Handcream_ColorNoise_4.ply,3.392857143
Handcream_ColorNoise_5.ply,3.533333333
Handcream_ColorNoise_6.ply,3.3
Handcream_ColorNoise_7.ply,3.25
Handcream_LumaNoise_1.ply,4.3125
Handcream_LumaNoise_3.ply,3.642857143
Handcream_LumaNoise_4.ply,3.033333333
Handcream_LumaNoise_5.ply,2.766666667
Handcream_LumaNoise_7.ply,2.035714286
Handcream_lossless-geom-lossy-attrs_3.ply,4.607142857
Handcream_lossless-geom-lossy-attrs_4.ply,4.5
Handcream_lossless-geom-lossy-attrs_5.ply,4.066666667
Handcream_lossless-geom-lossy-attrs_6.ply,3.5
Handcream_lossless-geom-lossy-attrs_7.ply,3.178571429
HorseV2_GaussianShifting_1.ply,4.928571429
HorseV2_GaussianShifting_2.ply,3.6875
HorseV2_GaussianShifting_3.ply,3.4375
HorseV2_GaussianShifting_4.ply,3
HorseV2_GaussianShifting_5.ply,2.821428571
HorseV2_UniformNoise_1.ply,4.785714286
HorseV2_UniformNoise_3.ply,4.035714286
HorseV2_UniformNoise_4.ply,3.9375
HorseV2_UniformNoise_5.ply,3.78125
HorseV2_UniformNoise_7.ply,3.214285714
Horse_GaussianNoise_1.ply,3.40625
Horse_GaussianNoise_3.ply,2.96875
Horse_GaussianNoise_4.ply,2.875
Horse_GaussianNoise_5.ply,2.357142857
Horse_GaussianNoise_7.ply,1.678571429
Horse_SaturationDistortion_1.ply,4.535714286
Horse_SaturationDistortion_2.ply,3.642857143
Horse_SaturationDistortion_3.ply,2.75
Horse_SaturationDistortion_4.ply,2.5
Horse_SaturationDistortion_5.ply,2.5625
HouseWithoutRoof_GaussianShifting_1.ply,4.033333333
HouseWithoutRoof_GaussianShifting_2.ply,3.233333333
HouseWithoutRoof_GaussianShifting_3.ply,2.766666667
HouseWithoutRoof_GaussianShifting_4.ply,2.642857143
HouseWithoutRoof_GaussianShifting_5.ply,2.266666667
HouseWithoutRoof_LocalLoss_1.ply,4.0625
HouseWithoutRoof_LocalLoss_2.ply,3.633333333
HouseWithoutRoof_LocalLoss_3.ply,2.321428571
HouseWithoutRoof_LocalLoss_4.ply,2.3
HouseWithoutRoof_LocalLoss_5.ply,2.1
HouseWithoutRoof_QuantizationNoise_1.ply,4.1875
HouseWithoutRoof_QuantizationNoise_3.ply,3.785714286
HouseWithoutRoof_QuantizationNoise_4.ply,3.357142857
HouseWithoutRoof_QuantizationNoise_5.ply,3.642857143
HouseWithoutRoof_QuantizationNoise_7.ply,2.966666667
HouseWithoutRoof_losslessG-lossyA_3.ply,4.607142857
HouseWithoutRoof_losslessG-lossyA_4.ply,4.4
HouseWithoutRoof_losslessG-lossyA_5.ply,3.966666667
HouseWithoutRoof_losslessG-lossyA_6.ply,3.033333333
HouseWithoutRoof_losslessG-lossyA_7.ply,2.785714286
Jaguar_UniformNoise_1.ply,4.928571429
Jaguar_UniformNoise_3.ply,3.766666667
Jaguar_UniformNoise_4.ply,3.642857143
Jaguar_UniformNoise_5.ply,3.285714286
Jaguar_UniformNoise_7.ply,3.321428571
Kangaroo_UniformShifting_1.ply,4.035714286
Kangaroo_UniformShifting_2.ply,3.642857143
Kangaroo_UniformShifting_3.ply,3.035714286
Kangaroo_UniformShifting_4.ply,2.71875
Kangaroo_UniformShifting_5.ply,2.571428571
Kangaroo_lossless-geom-lossy-attrs_3.ply,4.821428571
Kangaroo_lossless-geom-lossy-attrs_4.ply,4.8125
Kangaroo_lossless-geom-lossy-attrs_5.ply,4.78125
Kangaroo_lossless-geom-lossy-attrs_6.ply,4.035714286
Kangaroo_lossless-geom-lossy-attrs_7.ply,3.857142857
Mario_GaussianNoise_1.ply,3.571428571
Mario_GaussianNoise_3.ply,3.321428571
Mario_GaussianNoise_4.ply,3.214285714
Mario_GaussianNoise_5.ply,2.928571429
